trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
664485,11:40:00,11:40:00,6248,3,,,,1
664485,11:42:00,11:42:00,5044,4,,,,1
664485,11:47:00,11:47:00,5045,5,,,,1
664485,11:49:00,11:49:00,6854,6,,,,1
664485,11:54:00,11:54:00,5036,7,,,,1
664485,11:55:00,11:55:00,58343,8,,,,1
661205,12:10:00,12:10:00,5044,1,,,,1
661205,12:15:00,12:15:00,5045,2,,,,1
661205,12:17:00,12:17:00,6854,3,,,,1
661205,12:22:00,12:22:00,5036,4,,,,1
661205,12:25:00,12:25:00,58343,5,,,,1
661206,12:30:00,12:30:00,58343,1,,,,1
661206,12:31:00,12:31:00,63189,2,,,,1
661206,12:32:00,12:32:00,5039,3,,,,1
661206,12:36:00,12:36:00,5040,4,,,,1
661206,12:39:00,12:39:00,5041,5,,,,1
661206,12:43:00,12:43:00,5042,6,,,,1
661206,12:46:00,12:46:00,5043,7,,,,1
661206,12:48:00,12:48:00,6248,8,,,,1
661206,13:00:00,13:00:00,5044,9,,,,1
661206,13:05:00,13:05:00,5045,10,,,,1
661206,13:07:00,13:07:00,6854,11,,,,1
661206,13:12:00,13:12:00,5036,12,,,,1
661206,13:15:00,13:15:00,58343,13,,,,1
661207,13:20:00,13:20:00,58343,1,,,,1
661207,13:21:00,13:21:00,63189,2,,,,1
661207,13:22:00,13:22:00,5039,3,,,,1
661207,13:26:00,13:26:00,5040,4,,,,1
661207,13:29:00,13:29:00,5041,5,,,,1
661207,13:33:00,13:33:00,5042,6,,,,1
661207,13:36:00,13:36:00,5043,7,,,,1
661207,13:38:00,13:38:00,6248,8,,,,1
661207,13:40:00,13:40:00,5044,9,,,,1
661207,13:45:00,13:45:00,5045,10,,,,1
661207,13:47:00,13:47:00,6854,11,,,,1
661207,13:52:00,13:52:00,5036,12,,,,1
661207,13:55:00,13:55:00,58343,13,,,,1
661208,14:00:00,14:00:00,58343,1,,,,1
661208,14:01:00,14:01:00,63189,2,,,,1
661208,14:02:00,14:02:00,5039,3,,,,1
661208,14:06:00,14:06:00,5040,4,,,,1
661208,14:09:00,14:09:00,5041,5,,,,1
661208,14:13:00,14:13:00,5042,6,,,,1
661208,14:16:00,14:16:00,5043,7,,,,1
661208,14:18:00,14:18:00,6248,8,,,,1
661208,14:20:00,14:20:00,5044,9,,,,1
661208,14:25:00,14:25:00,5045,10,,,,1
661208,14:30:00,14:30:00,6854,11,,,,1
661208,14:32:00,14:32:00,5036,12,,,,1
661208,14:35:00,14:35:00,58343,13,,,,1
661210,15:10:00,15:10:00,5044,1,,,,1
661210,15:15:00,15:15:00,5045,2,,,,1
661210,15:17:00,15:17:00,6854,3,,,,1
661210,15:26:00,15:26:00,5036,4,,,,1
661210,15:30:00,15:30:00,58343,5,,,,1
661211,15:35:00,15:35:00,58343,1,,,,1
661211,15:36:00,15:36:00,63189,2,,,,1
661211,15:37:00,15:37:00,5039,3,,,,1
661211,15:38:00,15:38:00,5040,4,,,,1
661211,15:39:00,15:39:00,5041,5,,,,1
661211,15:43:00,15:43:00,5042,6,,,,1
661211,15:46:00,15:46:00,5043,7,,,,1
661211,15:48:00,15:48:00,6248,8,,,,1
661211,16:00:00,16:00:00,5044,9,,,,1
661211,16:05:00,16:05:00,5045,10,,,,1
661211,16:07:00,16:07:00,6854,11,,,,1
661211,16:12:00,16:12:00,5036,12,,,,1
661211,16:15:00,16:15:00,58343,13,,,,1
661212,16:20:00,16:20:00,58343,1,,,,1
661212,16:21:00,16:21:00,63189,2,,,,1
661212,16:22:00,16:22:00,5039,3,,,,1
661212,16:26:00,16:26:00,5040,4,,,,1
661212,16:29:00,16:29:00,5041,5,,,,1
661212,16:33:00,16:33:00,5042,6,,,,1
661212,16:36:00,16:36:00,5043,7,,,,1
661212,16:38:00,16:38:00,6248,8,,,,1
661212,16:40:00,16:40:00,5044,9,,,,1
661212,16:45:00,16:45:00,5045,10,,,,1
661212,16:47:00,16:47:00,6854,11,,,,1
661212,16:52:00,16:52:00,5036,12,,,,1
661212,16:55:00,16:55:00,58343,13,,,,1
661213,17:00:00,17:00:00,58343,1,,,,1
661213,17:01:00,17:01:00,63189,2,,,,1
661213,17:02:00,17:02:00,5039,3,,,,1
661213,17:06:00,17:06:00,5040,4,,,,1
661213,17:09:00,17:09:00,5041,5,,,,1
661213,17:13:00,17:13:00,5042,6,,,,1
661213,17:16:00,17:16:00,5043,7,,,,1
661213,17:18:00,17:18:00,6248,8,,,,1
661213,17:20:00,17:20:00,5044,9,,,,1
661213,17:25:00,17:25:00,5045,10,,,,1
661213,17:27:00,17:27:00,6854,11,,,,1
661213,17:32:00,17:32:00,5036,12,,,,1
661213,17:35:00,17:35:00,58343,13,,,,1
661214,17:40:00,17:40:00,58343,1,,,,1
661214,17:41:00,17:41:00,63189,2,,,,1
661214,17:42:00,17:42:00,5039,3,,,,1
661214,17:46:00,17:46:00,5040,4,,,,1
661214,17:49:00,17:49:00,5041,5,,,,1
661214,17:53:00,17:53:00,5042,6,,,,1
661214,17:56:00,17:56:00,5043,7,,,,1
661214,17:58:00,17:58:00,6248,8,,,,1
661214,18:00:00,18:00:00,5044,9,,,,1
661214,18:05:00,18:05:00,5045,10,,,,1
661214,18:07:00,18:07:00,6854,11,,,,1
661214,18:12:00,18:12:00,5036,12,,,,1
661214,18:15:00,18:15:00,58343,13,,,,1
661215,18:20:00,18:20:00,58343,1,,,,1
661215,18:21:00,18:21:00,63189,2,,,,1
661215,18:22:00,18:22:00,5039,3,,,,1
661215,18:26:00,18:26:00,5040,4,,,,1
661215,18:29:00,18:29:00,5041,5,,,,1
661215,18:33:00,18:33:00,5042,6,,,,1
661215,18:36:00,18:36:00,5043,7,,,,1
661215,18:38:00,18:38:00,6248,8,,,,1
661215,18:40:00,18:40:00,5044,9,,,,1
661215,18:45:00,18:45:00,5045,10,,,,1
661215,18:47:00,18:47:00,6854,11,,,,1
661215,18:52:00,18:52:00,5036,12,,,,1
661215,18:55:00,18:55:00,58343,13,,,,1
661216,19:00:00,19:00:00,58343,1,,,,1
661216,19:01:00,19:01:00,63189,2,,,,1
661216,19:02:00,19:02:00,5039,3,,,,1
661216,19:06:00,19:06:00,5040,4,,,,1
661216,19:09:00,19:09:00,5041,5,,,,1
661217,20:10:00,20:10:00,58343,1,,,,1
661217,20:11:00,20:11:00,63189,2,,,,1
661217,20:12:00,20:12:00,5039,3,,,,1
661217,20:16:00,20:16:00,5040,4,,,,1
661217,20:19:00,20:19:00,5041,5,,,,1
661217,20:21:00,20:21:00,5042,6,,,,1
661217,20:23:00,20:23:00,5043,7,,,,1
661217,20:24:00,20:24:00,6248,8,,,,1
661217,20:25:00,20:25:00,5044,9,,,,1
661217,20:30:00,20:30:00,5045,10,,,,1
661217,20:32:00,20:32:00,6854,11,,,,1
661217,20:37:00,20:37:00,5036,12,,,,1
661217,20:40:00,20:40:00,58343,13,,,,1
661218,20:40:00,20:40:00,58343,1,,,,1
661218,20:41:00,20:41:00,63189,2,,,,1
661218,20:42:00,20:42:00,5039,3,,,,1
661218,20:46:00,20:46:00,5040,4,,,,1
661218,20:49:00,20:49:00,5041,5,,,,1
661218,20:51:00,20:51:00,5042,6,,,,1
661218,20:53:00,20:53:00,5043,7,,,,1
661218,20:54:00,20:54:00,6248,8,,,,1
661218,20:55:00,20:55:00,5044,9,,,,1
661218,21:00:00,21:00:00,5045,10,,,,1
661218,21:05:00,21:05:00,6854,11,,,,1
661218,21:07:00,21:07:00,5036,12,,,,1
661218,21:10:00,21:10:00,58343,13,,,,1
661219,21:10:00,21:10:00,58343,1,,,,1
661219,21:11:00,21:11:00,63189,2,,,,1
661219,21:12:00,21:12:00,5039,3,,,,1
661219,21:16:00,21:16:00,5040,4,,,,1
661219,21:19:00,21:19:00,5041,5,,,,1
661219,21:21:00,21:21:00,5042,6,,,,1
661219,21:23:00,21:23:00,5043,7,,,,1
661219,21:24:00,21:24:00,6248,8,,,,1
661219,21:25:00,21:25:00,5044,9,,,,1
661219,21:30:00,21:30:00,5045,10,,,,1
661219,21:32:00,21:32:00,6854,11,,,,1
661219,21:37:00,21:37:00,5036,12,,,,1
661219,21:40:00,21:40:00,58343,13,,,,1
661220,21:40:00,21:40:00,58343,1,,,,1
661220,21:41:00,21:41:00,63189,2,,,,1
661220,21:42:00,21:42:00,5039,3,,,,1
661220,21:46:00,21:46:00,5040,4,,,,1
661220,21:49:00,21:49:00,5041,5,,,,1
661220,21:51:00,21:51:00,5042,6,,,,1
661220,21:53:00,21:53:00,5043,7,,,,1
